w	EQE	w	EQE
	PBDB-T:F-M 190nm		PBDB-TF-T1:BTP-4F-12 180nm
1180	0	1180	0
1181	0	1181	0
1182	0	1182	0
1183	0	1183	0
1184	0	1184	0
1185	0	1185	0
1186	0	1186	0
1187	0	1187	0
1188	0	1188	0
1189	0	1189	0
1190	0	1190	0
1191	0	1191	0
1192	0	1192	0
1193	0	1193	0
1194	0	1194	0
1195	0	1195	0
1196	0	1196	0
1197	0	1197	0
1198	0	1198	0
1199	0	1199	0
1200	0	1200	0
1201	0	1201	0
1202	0	1202	0
1203	0	1203	0
1204	0	1204	0
1205	0	1205	0
1206	0	1206	0
1207	0	1207	0
1208	0	1208	0
1209	0	1209	0
1210	0	1210	0
1211	0	1211	0
1212	0	1212	0
1213	0	1213	0
1214	0	1214	0
1215	0	1215	0
1216	0	1216	0
1217	0	1217	0
1218	0	1218	0
1219	0	1219	0
1220	0	1220	0
1221	0	1221	0
1222	0	1222	0
1223	0	1223	0
1224	0	1224	0
1225	0	1225	0
1226	0	1226	0
1227	0	1227	0
1228	0	1228	0
1229	0	1229	0
1230	0	1230	0
1231	0	1231	0
1232	0	1232	0
1233	0	1233	0
1234	0	1234	0
1235	0	1235	0
1236	0	1236	0
1237	0	1237	0
1238	0	1238	0
1239	0	1239	0
1240	0	1240	0
1241	0	1241	0
1242	0	1242	0
1243	0	1243	0
1244	0	1244	0
1245	0	1245	0
1246	0	1246	0
1247	0	1247	0
1248	0	1248	0
1249	0	1249	0
1250	0	1250	0
1251	0	1251	0
1252	0	1252	0
1253	0	1253	0
1254	0	1254	0
1255	0	1255	0
1256	0	1256	0
1257	0	1257	0
1258	0	1258	0
1259	0	1259	0
1260	0	1260	0
1261	0	1261	0
1262	0	1262	0
1263	0	1263	0
1264	0	1264	0
1265	0	1265	0
1266	0	1266	0
1267	0	1267	0
1268	0	1268	0
1269	0	1269	0
1270	0	1270	0
1271	0	1271	0
1272	0	1272	0
1273	0	1273	0
1274	0	1274	0
1275	0	1275	0
1276	0	1276	0
1277	0	1277	0
1278	0	1278	0
1279	0	1279	0
1280	0	1280	0
1281	0	1281	0
1282	0	1282	0
1283	0	1283	0
1284	0	1284	0
1285	0	1285	0
1286	0	1286	0
1287	0	1287	0
1288	0	1288	0
1289	0	1289	0
1290	0	1290	0
1291	0	1291	0
1292	0	1292	0
1293	0	1293	0
1294	0	1294	0
1295	0	1295	0
1296	0	1296	0
1297	0	1297	0
1298	0	1298	0
1299	0	1299	0
1300	0	1300	0
1301	0	1301	0
1302	0	1302	0
1303	0	1303	0
1304	0	1304	0
1305	0	1305	0
1306	0	1306	0
1307	0	1307	0
1308	0	1308	0
1309	0	1309	0
1310	0	1310	0
1311	0	1311	0
1312	0	1312	0
1313	0	1313	0
1314	0	1314	0
1315	0	1315	0
1316	0	1316	0
1317	0	1317	0
1318	0	1318	0
1319	0	1319	0
1320	0	1320	0
1321	0	1321	0
1322	0	1322	0
1323	0	1323	0
1324	0	1324	0
1325	0	1325	0
1326	0	1326	0
1327	0	1327	0
1328	0	1328	0
1329	0	1329	0
1330	0	1330	0
1331	0	1331	0
1332	0	1332	0
1333	0	1333	0
1334	0	1334	0
1335	0	1335	0
1336	0	1336	0
1337	0	1337	0
1338	0	1338	0
1339	0	1339	0
1340	0	1340	0
1341	0	1341	0
1342	0	1342	0
1343	0	1343	0
1344	0	1344	0
1345	0	1345	0
1346	0	1346	0
1347	0	1347	0
1348	0	1348	0
1349	0	1349	0
1350	0	1350	0
1351	0	1351	0
1352	0	1352	0
1353	0	1353	0
1354	0	1354	0
1355	0	1355	0
1356	0	1356	0
1357	0	1357	0
1358	0	1358	0
1359	0	1359	0
1360	0	1360	0
1361	0	1361	0
1362	0	1362	0
1363	0	1363	0
1364	0	1364	0
1365	0	1365	0
1366	0	1366	0
1367	0	1367	0
1368	0	1368	0
1369	0	1369	0
1370	0	1370	0
1371	0	1371	0
1372	0	1372	0
1373	0	1373	0
1374	0	1374	0
1375	0	1375	0
1376	0	1376	0
1377	0	1377	0
1378	0	1378	0
1379	0	1379	0
1380	0	1380	0
1381	0	1381	0
1382	0	1382	0
1383	0	1383	0
1384	0	1384	0
1385	0	1385	0
1386	0	1386	0
1387	0	1387	0
1388	0	1388	0
1389	0	1389	0
1390	0	1390	0
1391	0	1391	0
1392	0	1392	0
1393	0	1393	0
1394	0	1394	0
1395	0	1395	0
1396	0	1396	0
1397	0	1397	0
1398	0	1398	0
1399	0	1399	0
1400	0	1400	0
1401	0	1401	0
1402	0	1402	0
1403	0	1403	0
1404	0	1404	0
1405	0	1405	0
1406	0	1406	0
1407	0	1407	0
1408	0	1408	0
1409	0	1409	0
1410	0	1410	0
1411	0	1411	0
1412	0	1412	0
1413	0	1413	0
1414	0	1414	0
1415	0	1415	0
1416	0	1416	0
1417	0	1417	0
1418	0	1418	0
1419	0	1419	0
1420	0	1420	0
1421	0	1421	0
1422	0	1422	0
1423	0	1423	0
1424	0	1424	0
1425	0	1425	0
1426	0	1426	0
1427	0	1427	0
1428	0	1428	0
1429	0	1429	0
1430	0	1430	0
1431	0	1431	0
1432	0	1432	0
1433	0	1433	0
1434	0	1434	0
1435	0	1435	0
1436	0	1436	0
1437	0	1437	0
1438	0	1438	0
1439	0	1439	0
1440	0	1440	0
1441	0	1441	0
1442	0	1442	0
1443	0	1443	0
1444	0	1444	0
1445	0	1445	0
1446	0	1446	0
1447	0	1447	0
1448	0	1448	0
1449	0	1449	0
1450	0	1450	0
1451	0	1451	0
1452	0	1452	0
1453	0	1453	0
1454	0	1454	0
1455	0	1455	0
1456	0	1456	0
1457	0	1457	0
1458	0	1458	0
1459	0	1459	0
1460	0	1460	0
1461	0	1461	0
1462	0	1462	0
1463	0	1463	0
1464	0	1464	0
1465	0	1465	0
1466	0	1466	0
1467	0	1467	0
1468	0	1468	0
1469	0	1469	0
1470	0	1470	0
1471	0	1471	0
1472	0	1472	0
1473	0	1473	0
1474	0	1474	0
1475	0	1475	0
1476	0	1476	0
1477	0	1477	0
1478	0	1478	0
1479	0	1479	0
1480	0	1480	0
1481	0	1481	0
1482	0	1482	0
1483	0	1483	0
1484	0	1484	0
1485	0	1485	0
1486	0	1486	0
1487	0	1487	0
1488	0	1488	0
1489	0	1489	0
1490	0	1490	0
1491	0	1491	0
1492	0	1492	0
1493	0	1493	0
1494	0	1494	0
1495	0	1495	0
1496	0	1496	0
1497	0	1497	0
1498	0	1498	0
1499	0	1499	0
1500	0	1500	0
1501	0	1501	0
1502	0	1502	0
1503	0	1503	0
1504	0	1504	0
1505	0	1505	0
1506	0	1506	0
1507	0	1507	0
1508	0	1508	0
1509	0	1509	0
1510	0	1510	0
1511	0	1511	0
1512	0	1512	0
1513	0	1513	0
1514	0	1514	0
1515	0	1515	0
1516	0	1516	0
1517	0	1517	0
1518	0	1518	0
1519	0	1519	0
1520	0	1520	0
1521	0	1521	0
1522	0	1522	0
1523	0	1523	0
1524	0	1524	0
1525	0	1525	0
1526	0	1526	0
1527	0	1527	0
1528	0	1528	0
1529	0	1529	0
1530	0	1530	0
1531	0	1531	0
1532	0	1532	0
1533	0	1533	0
1534	0	1534	0
1535	0	1535	0
1536	0	1536	0
1537	0	1537	0
1538	0	1538	0
1539	0	1539	0
1540	0	1540	0
1541	0	1541	0
1542	0	1542	0
1543	0	1543	0
1544	0	1544	0
1545	0	1545	0
1546	0	1546	0
1547	0	1547	0
1548	0	1548	0
1549	0	1549	0
1550	0	1550	0
1551	0	1551	0
1552	0	1552	0
1553	0	1553	0
1554	0	1554	0
1555	0	1555	0
1556	0	1556	0
1557	0	1557	0
1558	0	1558	0
1559	0	1559	0
1560	0	1560	0
1561	0	1561	0
1562	0	1562	0
1563	0	1563	0
1564	0	1564	0
1565	0	1565	0
1566	0	1566	0
1567	0	1567	0
1568	0	1568	0
1569	0	1569	0
1570	0	1570	0
1571	0	1571	0
1572	0	1572	0
1573	0	1573	0
1574	0	1574	0
1575	0	1575	0
1576	0	1576	0
1577	0	1577	0
1578	0	1578	0
1579	0	1579	0
1580	0	1580	0
1581	0	1581	0
1582	0	1582	0
1583	0	1583	0
1584	0	1584	0
1585	0	1585	0
1586	0	1586	0
1587	0	1587	0
1588	0	1588	0
1589	0	1589	0
1590	0	1590	0
1591	0	1591	0
1592	0	1592	0
1593	0	1593	0
1594	0	1594	0
1595	0	1595	0
1596	0	1596	0
1597	0	1597	0
1598	0	1598	0
1599	0	1599	0
1600	0	1600	0
1601	0	1601	0
1602	0	1602	0
1603	0	1603	0
1604	0	1604	0
1605	0	1605	0
1606	0	1606	0
1607	0	1607	0
1608	0	1608	0
1609	0	1609	0
1610	0	1610	0
1611	0	1611	0
1612	0	1612	0
1613	0	1613	0
1614	0	1614	0
1615	0	1615	0
1616	0	1616	0
1617	0	1617	0
1618	0	1618	0
1619	0	1619	0
1620	0	1620	0
1621	0	1621	0
1622	0	1622	0
1623	0	1623	0
1624	0	1624	0
1625	0	1625	0
1626	0	1626	0
1627	0	1627	0
1628	0	1628	0
1629	0	1629	0
1630	0	1630	0
1631	0	1631	0
1632	0	1632	0
1633	0	1633	0
1634	0	1634	0
1635	0	1635	0
1636	0	1636	0
1637	0	1637	0
1638	0	1638	0
1639	0	1639	0
1640	0	1640	0
1641	0	1641	0
1642	0	1642	0
1643	0	1643	0
1644	0	1644	0
1645	0	1645	0
1646	0	1646	0
1647	0	1647	0
1648	0	1648	0
1649	0	1649	0
1650	0	1650	0
1651	0	1651	0
1652	0	1652	0
1653	0	1653	0
1654	0	1654	0
1655	0	1655	0
1656	0	1656	0
1657	0	1657	0
1658	0	1658	0
1659	0	1659	0
1660	0	1660	0
1661	0	1661	0
1662	0	1662	0
1663	0	1663	0
1664	0	1664	0
1665	0	1665	0
1666	0	1666	0
1667	0	1667	0
1668	0	1668	0
1669	0	1669	0
1670	0	1670	0
1671	0	1671	0
1672	0	1672	0
1673	0	1673	0
1674	0	1674	0
1675	0	1675	0
1676	0	1676	0
1677	0	1677	0
1678	0	1678	0
1679	0	1679	0
1680	0	1680	0
1681	0	1681	0
1682	0	1682	0
1683	0	1683	0
1684	0	1684	0
1685	0	1685	0
1686	0	1686	0
1687	0	1687	0
1688	0	1688	0
1689	0	1689	0
1690	0	1690	0
1691	0	1691	0
1692	0	1692	0
1693	0	1693	0
1694	0	1694	0
1695	0	1695	0
1696	0	1696	0
1697	0	1697	0
1698	0	1698	0
1699	0	1699	0
1700	0	1700	0
1702	0	1702	0
1705	0	1705	0
1710	0	1710	0
1715	0	1715	0
1720	0	1720	0
1725	0	1725	0
1730	0	1730	0
1735	0	1735	0
1740	0	1740	0
1745	0	1745	0
1750	0	1750	0
1755	0	1755	0
1760	0	1760	0
1765	0	1765	0
1770	0	1770	0
1775	0	1775	0
1780	0	1780	0
1785	0	1785	0
1790	0	1790	0
1795	0	1795	0
1800	0	1800	0
1805	0	1805	0
1810	0	1810	0
1815	0	1815	0
1820	0	1820	0
1825	0	1825	0
1830	0	1830	0
1835	0	1835	0
1840	0	1840	0
1845	0	1845	0
1850	0	1850	0
1855	0	1855	0
1860	0	1860	0
1865	0	1865	0
1870	0	1870	0
1875	0	1875	0
1880	0	1880	0
1885	0	1885	0
1890	0	1890	0
1895	0	1895	0
1900	0	1900	0
1905	0	1905	0
1910	0	1910	0
1915	0	1915	0
1920	0	1920	0
1925	0	1925	0
1930	0	1930	0
1935	0	1935	0
1940	0	1940	0
1945	0	1945	0
1950	0	1950	0
1955	0	1955	0
1960	0	1960	0
1965	0	1965	0
1970	0	1970	0
1975	0	1975	0
1980	0	1980	0
1985	0	1985	0
1990	0	1990	0
1995	0	1995	0
2000	0	2000	0
2005	0	2005	0
2010	0	2010	0
2015	0	2015	0
2020	0	2020	0
2025	0	2025	0
2030	0	2030	0
2035	0	2035	0
2040	0	2040	0
2045	0	2045	0
2050	0	2050	0
2055	0	2055	0
2060	0	2060	0
2065	0	2065	0
2070	0	2070	0
2075	0	2075	0
2080	0	2080	0
2085	0	2085	0
2090	0	2090	0
2095	0	2095	0
2100	0	2100	0
2105	0	2105	0
2110	0	2110	0
2115	0	2115	0
2120	0	2120	0
2125	0	2125	0
2130	0	2130	0
2135	0	2135	0
2140	0	2140	0
2145	0	2145	0
2150	0	2150	0
2155	0	2155	0
2160	0	2160	0
2165	0	2165	0
2170	0	2170	0
2175	0	2175	0
2180	0	2180	0
2185	0	2185	0
2190	0	2190	0
2195	0	2195	0
2200	0	2200	0
2205	0	2205	0
2210	0	2210	0
2215	0	2215	0
2220	0	2220	0
2225	0	2225	0
2230	0	2230	0
2235	0	2235	0
2240	0	2240	0
2245	0	2245	0
2250	0	2250	0
2255	0	2255	0
2260	0	2260	0
2265	0	2265	0
2270	0	2270	0
2275	0	2275	0
2280	0	2280	0
2285	0	2285	0
2290	0	2290	0
2295	0	2295	0
2300	0	2300	0
2305	0	2305	0
2310	0	2310	0
2315	0	2315	0
2320	0	2320	0
2325	0	2325	0
2330	0	2330	0
2335	0	2335	0
2340	0	2340	0
2345	0	2345	0
2350	0	2350	0
2355	0	2355	0
2360	0	2360	0
2365	0	2365	0
2370	0	2370	0
2375	0	2375	0
2380	0	2380	0
2385	0	2385	0
2390	0	2390	0
2395	0	2395	0
2400	0	2400	0
2405	0	2405	0
2410	0	2410	0
2415	0	2415	0
2420	0	2420	0
2425	0	2425	0
2430	0	2430	0
2435	0	2435	0
2440	0	2440	0
2445	0	2445	0
2450	0	2450	0
2455	0	2455	0
2460	0	2460	0
2465	0	2465	0
2470	0	2470	0
2475	0	2475	0
2480	0	2480	0
2485	0	2485	0
2490	0	2490	0
2495	0	2495	0
2500	0	2500	0
2505	0	2505	0
2510	0	2510	0
2515	0	2515	0
2520	0	2520	0
2525	0	2525	0
2530	0	2530	0
2535	0	2535	0
2540	0	2540	0
2545	0	2545	0
2550	0	2550	0
2555	0	2555	0
2560	0	2560	0
2565	0	2565	0
2570	0	2570	0
2575	0	2575	0
2580	0	2580	0
2585	0	2585	0
2590	0	2590	0
2595	0	2595	0
2600	0	2600	0
2605	0	2605	0
2610	0	2610	0
2615	0	2615	0
2620	0	2620	0
2625	0	2625	0
2630	0	2630	0
2635	0	2635	0
2640	0	2640	0
2645	0	2645	0
2650	0	2650	0
2655	0	2655	0
2660	0	2660	0
2665	0	2665	0
2670	0	2670	0
2675	0	2675	0
2680	0	2680	0
2685	0	2685	0
2690	0	2690	0
2695	0	2695	0
2700	0	2700	0
2705	0	2705	0
2710	0	2710	0
2715	0	2715	0
2720	0	2720	0
2725	0	2725	0
2730	0	2730	0
2735	0	2735	0
2740	0	2740	0
2745	0	2745	0
2750	0	2750	0
2755	0	2755	0
2760	0	2760	0
2765	0	2765	0
2770	0	2770	0
2775	0	2775	0
2780	0	2780	0
2785	0	2785	0
2790	0	2790	0
2795	0	2795	0
2800	0	2800	0
2805	0	2805	0
2810	0	2810	0
2815	0	2815	0
2820	0	2820	0
2825	0	2825	0
2830	0	2830	0
2835	0	2835	0
2840	0	2840	0
2845	0	2845	0
2850	0	2850	0
2855	0	2855	0
2860	0	2860	0
2865	0	2865	0
2870	0	2870	0
2875	0	2875	0
2880	0	2880	0
2885	0	2885	0
2890	0	2890	0
2895	0	2895	0
2900	0	2900	0
2905	0	2905	0
2910	0	2910	0
2915	0	2915	0
2920	0	2920	0
2925	0	2925	0
2930	0	2930	0
2935	0	2935	0
2940	0	2940	0
2945	0	2945	0
2950	0	2950	0
2955	0	2955	0
2960	0	2960	0
2965	0	2965	0
2970	0	2970	0
2975	0	2975	0
2980	0	2980	0
2985	0	2985	0
2990	0	2990	0
2995	0	2995	0
3000	0	3000	0
3005	0	3005	0
3010	0	3010	0
3015	0	3015	0
3020	0	3020	0
3025	0	3025	0
3030	0	3030	0
3035	0	3035	0
3040	0	3040	0
3045	0	3045	0
3050	0	3050	0
3055	0	3055	0
3060	0	3060	0
3065	0	3065	0
3070	0	3070	0
3075	0	3075	0
3080	0	3080	0
3085	0	3085	0
3090	0	3090	0
3095	0	3095	0
3100	0	3100	0
3105	0	3105	0
3110	0	3110	0
3115	0	3115	0
3120	0	3120	0
3125	0	3125	0
3130	0	3130	0
3135	0	3135	0
3140	0	3140	0
3145	0	3145	0
3150	0	3150	0
3155	0	3155	0
3160	0	3160	0
3165	0	3165	0
3170	0	3170	0
3175	0	3175	0
3180	0	3180	0
3185	0	3185	0
3190	0	3190	0
3195	0	3195	0
3200	0	3200	0
3205	0	3205	0
3210	0	3210	0
3215	0	3215	0
3220	0	3220	0
3225	0	3225	0
3230	0	3230	0
3235	0	3235	0
3240	0	3240	0
3245	0	3245	0
3250	0	3250	0
3255	0	3255	0
3260	0	3260	0
3265	0	3265	0
3270	0	3270	0
3275	0	3275	0
3280	0	3280	0
3285	0	3285	0
3290	0	3290	0
3295	0	3295	0
3300	0	3300	0
3305	0	3305	0
3310	0	3310	0
3315	0	3315	0
3320	0	3320	0
3325	0	3325	0
3330	0	3330	0
3335	0	3335	0
3340	0	3340	0
3345	0	3345	0
3350	0	3350	0
3355	0	3355	0
3360	0	3360	0
3365	0	3365	0
3370	0	3370	0
3375	0	3375	0
3380	0	3380	0
3385	0	3385	0
3390	0	3390	0
3395	0	3395	0
3400	0	3400	0
3405	0	3405	0
3410	0	3410	0
3415	0	3415	0
3420	0	3420	0
3425	0	3425	0
3430	0	3430	0
3435	0	3435	0
3440	0	3440	0
3445	0	3445	0
3450	0	3450	0
3455	0	3455	0
3460	0	3460	0
3465	0	3465	0
3470	0	3470	0
3475	0	3475	0
3480	0	3480	0
3485	0	3485	0
3490	0	3490	0
3495	0	3495	0
3500	0	3500	0
3505	0	3505	0
3510	0	3510	0
3515	0	3515	0
3520	0	3520	0
3525	0	3525	0
3530	0	3530	0
3535	0	3535	0
3540	0	3540	0
3545	0	3545	0
3550	0	3550	0
3555	0	3555	0
3560	0	3560	0
3565	0	3565	0
3570	0	3570	0
3575	0	3575	0
3580	0	3580	0
3585	0	3585	0
3590	0	3590	0
3595	0	3595	0
3600	0	3600	0
3605	0	3605	0
3610	0	3610	0
3615	0	3615	0
3620	0	3620	0
3625	0	3625	0
3630	0	3630	0
3635	0	3635	0
3640	0	3640	0
3645	0	3645	0
3650	0	3650	0
3655	0	3655	0
3660	0	3660	0
3665	0	3665	0
3670	0	3670	0
3675	0	3675	0
3680	0	3680	0
3685	0	3685	0
3690	0	3690	0
3695	0	3695	0
3700	0	3700	0
3705	0	3705	0
3710	0	3710	0
3715	0	3715	0
3720	0	3720	0
3725	0	3725	0
3730	0	3730	0
3735	0	3735	0
3740	0	3740	0
3745	0	3745	0
3750	0	3750	0
3755	0	3755	0
3760	0	3760	0
3765	0	3765	0
3770	0	3770	0
3775	0	3775	0
3780	0	3780	0
3785	0	3785	0
3790	0	3790	0
3795	0	3795	0
3800	0	3800	0
3805	0	3805	0
3810	0	3810	0
3815	0	3815	0
3820	0	3820	0
3825	0	3825	0
3830	0	3830	0
3835	0	3835	0
3840	0	3840	0
3845	0	3845	0
3850	0	3850	0
3855	0	3855	0
3860	0	3860	0
3865	0	3865	0
3870	0	3870	0
3875	0	3875	0
3880	0	3880	0
3885	0	3885	0
3890	0	3890	0
3895	0	3895	0
3900	0	3900	0
3905	0	3905	0
3910	0	3910	0
3915	0	3915	0
3920	0	3920	0
3925	0	3925	0
3930	0	3930	0
3935	0	3935	0
3940	0	3940	0
3945	0	3945	0
3950	0	3950	0
3955	0	3955	0
3960	0	3960	0
3965	0	3965	0
3970	0	3970	0
3975	0	3975	0
3980	0	3980	0
3985	0	3985	0
3990	0	3990	0
3995	0	3995	0
4000	0	4000	0
